START_ID,END_ID,TYPE,section_title,subsection_title,paragraph
doc_translated_mmd_zurich_en,date_1908_1908_1908,MENTIONS_DATE,1. Location and Extension.,,"Municipality and capital of the canton and district of Zurich, largest city of Switzerland. The geographical coordinates of the federal observatory on the Zurichberg (according to a kind communication from the observatory) are: 47° 22' 38"" N latitude and 8° 33' 3.9"" E longitude from Greenwich. The magnetic declination in 1908 was 11½° W. The altitude is 470 m for the observatory, and for the lake level an average of 408.6 m. The Limmat descends to level 400 m (before Hoengg) over a distance of 6 km within the city area, i.e. an average gradient of 1.5‰. The city area extends westward to the ridge of the Uetliberg, whose summit signal lies on the city boundary at 874 m above sea level."
doc_translated_mmd_zurich_en,date_1893_1893_1893,MENTIONS_DATE,1. Location and Extension.,,"The city area consists of the actual former Zurich in the center and a wreath of outer municipalities which have been united with the old town since 1893, namely: Wollishofen, Enge, Wiedikon, Aussersihl, Wipkingen, Unterstrass, Oberstrass, Fluntern, Hottingen, Hirslanden, and Riesbach. Thus, Zurich is the largest community in Switzerland."
doc_translated_mmd_zurich_en,date_1882_83_1882_1883,MENTIONS_DATE,2. Topographical Description.,,"In the city map or the view from the heights of the Uetliberg, the hilly, angular old town with its dark, age-gray sandstone houses and blackened tile ridges distinctly separates from the wide-meshed, regulated street grid of the outer zone, whose blocks gradually dissolve uphill on both sides of the lake and Limmat into healthy villa quarters with open development. The angular shape of the Schanzengraben still betrays the extent of the former ""small city"" on the left Limmat bank, while Seilergraben-Hirschengraben enclose the ""large"" (right bank) city uphill. Within this old fortress framework, we want to begin our walk through the city. A ship took us to the landing stage at Bürkliplatz, formerly called Stadthausplatz. What beautiful parks lie to the left towards Enge and before us towards Bahnhofstrasse! We cross the Quaibrücke. Built in 1882/83 from coarse Black Forest granite, it bridges the Limmat's outflow from the lake with a length of 165 m."
doc_translated_mmd_zurich_en,date_1885_1885_1885,MENTIONS_DATE,2. Topographical Description.,,"Let us turn from the Quaibrücke downstream of the old town toward the Limmat. Across the former ferry landing square, now widened into a splendid quay, we reach the 1885 built Zwingli monument, a high bronze statue of the great reformer, framed by dark groups of trees, in front of the old Wasserkirche, in which the city library is now housed. To the north, the Helmhaus adjoins. From the Münsterbrücke offers a characteristic city view: to the right, elevated, the Grossmünster with its two Gothic towers—formerly ending in pointed spires, now crowned with wooden domes. It is the church of the former collegiate chapter, the place of Zwingli’s activity 1519–1531, built in Romanesque style in 1078 on the site of an older burnt church. On the southern tower, high up in a niche, sits, carved in stone, Emperor Charlemagne with the sword on his knees and a golden crown on his head. In the noteworthy cloister (upper daughters' school) stands a fountain with the statue of the emperor in sandstone."
doc_translated_mmd_zurich_en,date_1519_1531_1519_1531,MENTIONS_DATE,2. Topographical Description.,,"Let us turn from the Quaibrücke downstream of the old town toward the Limmat. Across the former ferry landing square, now widened into a splendid quay, we reach the 1885 built Zwingli monument, a high bronze statue of the great reformer, framed by dark groups of trees, in front of the old Wasserkirche, in which the city library is now housed. To the north, the Helmhaus adjoins. From the Münsterbrücke offers a characteristic city view: to the right, elevated, the Grossmünster with its two Gothic towers—formerly ending in pointed spires, now crowned with wooden domes. It is the church of the former collegiate chapter, the place of Zwingli’s activity 1519–1531, built in Romanesque style in 1078 on the site of an older burnt church. On the southern tower, high up in a niche, sits, carved in stone, Emperor Charlemagne with the sword on his knees and a golden crown on his head. In the noteworthy cloister (upper daughters' school) stands a fountain with the statue of the emperor in sandstone."
doc_translated_mmd_zurich_en,date_1078_1078_1078,MENTIONS_DATE,2. Topographical Description.,,"Let us turn from the Quaibrücke downstream of the old town toward the Limmat. Across the former ferry landing square, now widened into a splendid quay, we reach the 1885 built Zwingli monument, a high bronze statue of the great reformer, framed by dark groups of trees, in front of the old Wasserkirche, in which the city library is now housed. To the north, the Helmhaus adjoins. From the Münsterbrücke offers a characteristic city view: to the right, elevated, the Grossmünster with its two Gothic towers—formerly ending in pointed spires, now crowned with wooden domes. It is the church of the former collegiate chapter, the place of Zwingli’s activity 1519–1531, built in Romanesque style in 1078 on the site of an older burnt church. On the southern tower, high up in a niche, sits, carved in stone, Emperor Charlemagne with the sword on his knees and a golden crown on his head. In the noteworthy cloister (upper daughters' school) stands a fountain with the statue of the emperor in sandstone."
doc_translated_mmd_zurich_en,date_1400_1400_1400,MENTIONS_DATE,2. Topographical Description.,,"Down the Limmatquai, some guild houses follow, then the venerable town hall, built over the Limmat. It is the third building on this site. The first was entirely wooden, the large (1400) at least toward the small (left bank) city wooden until 1502; in 1504 it received glass windows, previously only covered with cloth, and was demolished in 1694. Today's building is in noble German renaissance style. In the vestibule is a bust of the poet and Zurich state scribe Gottfried Keller. On the upper floor is the cantonal council chamber, also used as the session room by the great city council."
doc_translated_mmd_zurich_en,date_1502_1502_1502,MENTIONS_DATE,2. Topographical Description.,,"Down the Limmatquai, some guild houses follow, then the venerable town hall, built over the Limmat. It is the third building on this site. The first was entirely wooden, the large (1400) at least toward the small (left bank) city wooden until 1502; in 1504 it received glass windows, previously only covered with cloth, and was demolished in 1694. Today's building is in noble German renaissance style. In the vestibule is a bust of the poet and Zurich state scribe Gottfried Keller. On the upper floor is the cantonal council chamber, also used as the session room by the great city council."
doc_translated_mmd_zurich_en,date_1504_1504_1504,MENTIONS_DATE,2. Topographical Description.,,"Down the Limmatquai, some guild houses follow, then the venerable town hall, built over the Limmat. It is the third building on this site. The first was entirely wooden, the large (1400) at least toward the small (left bank) city wooden until 1502; in 1504 it received glass windows, previously only covered with cloth, and was demolished in 1694. Today's building is in noble German renaissance style. In the vestibule is a bust of the poet and Zurich state scribe Gottfried Keller. On the upper floor is the cantonal council chamber, also used as the session room by the great city council."
doc_translated_mmd_zurich_en,date_1694_1694_1694,MENTIONS_DATE,2. Topographical Description.,,"Down the Limmatquai, some guild houses follow, then the venerable town hall, built over the Limmat. It is the third building on this site. The first was entirely wooden, the large (1400) at least toward the small (left bank) city wooden until 1502; in 1504 it received glass windows, previously only covered with cloth, and was demolished in 1694. Today's building is in noble German renaissance style. In the vestibule is a bust of the poet and Zurich state scribe Gottfried Keller. On the upper floor is the cantonal council chamber, also used as the session room by the great city council."
